,date,kot,round_type,round,home_team,away_team,home_position,away_position,underdog,home_score,away_score,referee,game_stadium,attendance,season,derby,while_world_cup,kot_15_16,kot_16_17,kot_17_18,kot_18_19,kot_19_20,kot_20_21,kot_21_22,kot_22_23,while_champion_league,while_european_games,home_key,away_key,home_promoted,home_league_pts,home_is_relegated,home_is_champion,home_pos_b4_game,away_promoted,away_league_pts,away_is_relegated,away_is_champion,away_pos_b4_game,home_team_stadium,away_team_stadium,distance_in_km,capacity,att_ratio,ln(attendance),ln(capacity),built_in,stadium_age,stadium_age_squared,home_team_city,away_team_city
2020,2021-01-06,20:00,Regular Season,15,Ihud Bnei Sakhnin,Maccabi Netanya,12,7,Ihud Bnei Sakhnin,0,1,Ohad Asulin,Doha,0.0,2020,0,0,0,0,0,0,0,1,0,0,0,0,2020 - Regular Season - 15 - Ihud Bnei Sakhnin,2020 - Regular Season - 15 - Maccabi Netanya,0,16,,,9.0,0,20,,,8.0,Doha,Netanya,76.03997589403676,8500.0,0.0,0.0,9.047821442478408,2006,15,225,Sakhnin,Netanya
2021,2021-01-06,20:45,Regular Season,15,Hapoel Hadera,Beitar Jerusalem,13,9,Hapoel Hadera,0,4,David Fucsman,Netanya,0.0,2020,0,0,0,0,0,0,0,1,0,0,0,1,2020 - Regular Season - 15 - Hapoel Hadera,2020 - Regular Season - 15 - Beitar Jerusalem,0,14,,,12.0,0,18,,,10.0,Netanya,Teddy,67.68303794070863,13800.0,0.0,0.0,9.532423871145296,2012,9,81,Netanya,Jerusalem
2022,2021-01-07,19:00,Regular Season,15,Hapoel Kfar Saba,Maccabi Petah Tikva,10,6,Hapoel Kfar Saba,2,0,Daniel Bar Natan,HaMoshava,0.0,2020,0,0,0,0,0,0,1,0,0,0,0,0,2020 - Regular Season - 15 - Hapoel Kfar Saba,2020 - Regular Season - 15 - Maccabi Petah Tikva,0,16,,,13.0,0,23,,,4.0,HaMoshava,HaMoshava,0.0,11500.0,0.0,0.0,9.350102314351341,2011,10,100,Petah Tikva,Petah Tikva
2023,2021-01-07,20:00,Regular Season,15,FC Ashdod,Hapoel Tel Aviv,3,14,Hapoel Tel Aviv,2,1,Idan Leiba,Yud-Alef,0.0,2020,0,0,0,0,0,0,0,1,0,0,0,0,2020 - Regular Season - 15 - FC Ashdod,2020 - Regular Season - 15 - Hapoel Tel Aviv,0,25,,,5.0,0,10,,,14.0,Yud-Alef,Bloomfield,28.811916682556806,7800.0,0.0,0.0,8.961879012677683,1966,55,3025,Ashdod,Tel Aviv
2024,2021-01-07,20:45,Regular Season,15,Maccabi Tel Aviv,Bnei Yehuda Tel Aviv,2,11,Bnei Yehuda Tel Aviv,0,0,Aviad Shiloah,Bloomfield,0.0,2020,0,0,0,0,0,0,0,1,0,0,0,0,2020 - Regular Season - 15 - Maccabi Tel Aviv,2020 - Regular Season - 15 - Bnei Yehuda Tel Aviv,0,27,,,2.0,0,16,,,11.0,Bloomfield,Bloomfield,0.0,29400.0,0.0,0.0,10.288749953326773,1962,59,3481,Tel Aviv,Tel Aviv
2025,2021-01-23,15:00,Regular Season,16,Hapoel Tel Aviv,Hapoel Haifa,14,9,Hapoel Tel Aviv,2,2,Roi Reinshreiber,Bloomfield,0.0,2020,0,0,1,0,0,0,0,0,0,0,0,1,2020 - Regular Season - 16 - Hapoel Tel Aviv,2020 - Regular Season - 16 - Hapoel Haifa,0,11,,,14.0,0,20,,,8.0,Bloomfield,Sammy Ofer,83.34157294325398,29400.0,0.0,0.0,10.288749953326773,1962,59,3481,Tel Aviv,Haifa
2026,2021-01-23,17:30,Regular Season,16,Maccabi Petah Tikva,FC Ashdod,4,5,FC Ashdod,2,1,Igal Frid,HaMoshava,0.0,2020,0,0,0,0,1,0,0,0,0,0,0,1,2020 - Regular Season - 16 - Maccabi Petah Tikva,2020 - Regular Season - 16 - FC Ashdod,0,26,,,6.0,0,25,,,3.0,HaMoshava,Yud-Alef,38.511796697791986,11500.0,0.0,0.0,9.350102314351341,2011,10,100,Petah Tikva,Ashdod
2027,2021-01-23,18:45,Regular Season,16,Ironi Kiryat Shmona,Beitar Jerusalem,6,7,Beitar Jerusalem,0,2,Erez Papir,Kiryat Shmona Municipal,0.0,2020,0,0,0,0,0,1,0,0,0,0,0,1,2020 - Regular Season - 16 - Ironi Kiryat Shmona,2020 - Regular Season - 16 - Beitar Jerusalem,0,24,,,5.0,0,21,,,9.0,Kiryat Shmona Municipal,Teddy,165.58462476147065,5300.0,0.0,0.0,8.575462099540212,1989,32,1024,Kiryat Shmona,Jerusalem
2028,2021-01-23,20:00,Regular Season,16,Maccabi Haifa,Ihud Bnei Sakhnin,1,12,Ihud Bnei Sakhnin,3,0,Aviad Shiloah,Sammy Ofer,0.0,2020,0,0,0,0,0,0,0,1,0,0,0,1,2020 - Regular Season - 16 - Maccabi Haifa,2020 - Regular Season - 16 - Ihud Bnei Sakhnin,0,38,,,1.0,0,16,,,12.0,Sammy Ofer,Doha,33.654959093171044,30858.0,0.0,0.0,10.337151315002972,2014,7,49,Haifa,Sakhnin
2029,2021-01-23,20:45,Regular Season,16,Maccabi Netanya,Maccabi Tel Aviv,8,2,Maccabi Netanya,1,3,Eitan Shmuelevic,Netanya,0.0,2020,0,0,0,0,0,0,0,1,0,0,0,1,2020 - Regular Season - 16 - Maccabi Netanya,2020 - Regular Season - 16 - Maccabi Tel Aviv,0,20,,,7.0,0,30,,,2.0,Netanya,Bloomfield,28.62028018889023,13800.0,0.0,0.0,9.532423871145296,2012,9,81,Netanya,Tel Aviv
