fixture,id,referee,timezone,date,timestamp,periods,first,second,venue,id,name,city,status,long,short,elapsed,league,id,name,country,logo,flag,season,round,teams,home,id,name,logo,winner,away,id,name,logo,winner,goals,home,away,score,halftime,home,away,fulltime,home,away,extratime,home,away,penalty,home,away
,179470,None,UTC,2019-05-11T15:00:00+00:00,1557586800,,1557586800,1557590400,,None,Winner Stadium (Netanya),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Championship Round - 8,,,604,Maccabi Tel Aviv,https://media-4.api-sports.io/football/teams/604.png,True,,4505,Maccabi Netanya,https://media-2.api-sports.io/football/teams/4505.png,False,,3,0,,,1,0,,3,0,,None,None,,None,None
,179471,None,UTC,2019-05-11T17:00:00+00:00,1557594000,,1557594000,1557597600,,None,HaMoshava Stadium (Pétaḥ-Tiqva (Petach-Tikva)),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Championship Round - 8,,,4508,Bnei Yehuda,https://media-1.api-sports.io/football/teams/4508.png,False,,563,Hapoel Beer Sheva,https://media-1.api-sports.io/football/teams/563.png,True,,2,3,,,1,2,,2,3,,None,None,,None,None
,179472,None,UTC,2019-05-13T17:30:00+00:00,1557768600,,1557768600,1557772200,,None,Winner Stadium (Netanya),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Championship Round - 8,,,4500,Hapoel Hadera,https://media-5.api-sports.io/football/teams/4500.png,True,,4195,Maccabi Haifa,https://media-1.api-sports.io/football/teams/4195.png,False,,2,0,,,1,0,,2,0,,None,None,,None,None
,179473,None,UTC,2019-05-19T17:30:00+00:00,1558287000,,1558287000,1558290600,,None,Yaakov Turner Toto Stadium (Be’ér Shéva (Beer Sheva) ),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Championship Round - 9,,,563,Hapoel Beer Sheva,https://media-1.api-sports.io/football/teams/563.png,True,,4500,Hapoel Hadera,https://media-1.api-sports.io/football/teams/4500.png,False,,1,0,,,0,0,,1,0,,None,None,,None,None
,179474,None,UTC,2019-05-19T17:30:00+00:00,1558287000,,1558287000,1558290600,,None,Winner Stadium (Netanya),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Championship Round - 9,,,4505,Maccabi Netanya,https://media-1.api-sports.io/football/teams/4505.png,False,,4508,Bnei Yehuda,https://media-6.api-sports.io/football/teams/4508.png,True,,0,2,,,0,2,,0,2,,None,None,,None,None
,179475,None,UTC,2019-05-19T17:30:00+00:00,1558287000,,1558287000,1558290600,,None,Sammy Ofer Stadium (Haifa),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Championship Round - 9,,,4195,Maccabi Haifa,https://media-5.api-sports.io/football/teams/4195.png,None,,604,Maccabi Tel Aviv,https://media-4.api-sports.io/football/teams/604.png,None,,1,1,,,0,1,,1,1,,None,None,,None,None
,179476,None,UTC,2019-05-25T17:00:00+00:00,1558803600,,1558803600,1558807200,,None,HaMoshava Stadium (Pétaḥ-Tiqva (Petach-Tikva)),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Championship Round - 10,,,4508,Bnei Yehuda,https://media-1.api-sports.io/football/teams/4508.png,False,,4500,Hapoel Hadera,https://media-1.api-sports.io/football/teams/4500.png,True,,1,2,,,1,0,,1,2,,None,None,,None,None
,179477,None,UTC,2019-05-25T17:00:00+00:00,1558803600,,1558803600,1558807200,,None,Yaakov Turner Toto Stadium (Be’ér Shéva (Beer Sheva) ),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Championship Round - 10,,,563,Hapoel Beer Sheva,https://media-5.api-sports.io/football/teams/563.png,False,,604,Maccabi Tel Aviv,https://media-1.api-sports.io/football/teams/604.png,True,,0,4,,,0,2,,0,4,,None,None,,None,None
,179478,None,UTC,2019-05-25T17:00:00+00:00,1558803600,,1558803600,1558807200,,None,Winner Stadium (Netanya),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Championship Round - 10,,,4505,Maccabi Netanya,https://media-1.api-sports.io/football/teams/4505.png,False,,4195,Maccabi Haifa,https://media-1.api-sports.io/football/teams/4195.png,True,,1,2,,,0,1,,1,2,,None,None,,None,None
,179479,None,UTC,2019-03-16T16:00:00+00:00,1552752000,,1552752000,1552755600,,None,National Stadium Ramat Gan (Ramat Gan),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Relegation Round - 1,,,4509,Hapoel Ra'anana,https://media-4.api-sports.io/football/teams/4509.png,None,,4481,Bnei Sakhnin,https://media-1.api-sports.io/football/teams/4481.png,None,,2,2,,,1,0,,2,2,,None,None,,None,None
,179480,None,UTC,2019-03-16T16:15:00+00:00,1552752900,,1552752900,1552756500,,None,HaMoshava Stadium (Pétaḥ-Tiqva (Petach-Tikva)),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Relegation Round - 1,,,4501,Hapoel Tel Aviv,https://media-2.api-sports.io/football/teams/4501.png,True,,4507,Ashdod,https://media-4.api-sports.io/football/teams/4507.png,False,,5,1,,,1,0,,5,1,,None,None,,None,None
,179481,None,UTC,2019-03-17T17:00:00+00:00,1552842000,,1552842000,1552845600,,None,Kiryat-Shmona Municipal Stadium (Kiryat-Shmona),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Relegation Round - 1,,,4510,Ironi Kiryat Shmona,https://media-6.api-sports.io/football/teams/4510.png,False,,4495,Maccabi Petah Tikva,https://media-1.api-sports.io/football/teams/4495.png,True,,0,1,,,0,0,,0,1,,None,None,,None,None
,179482,None,UTC,2019-03-17T19:00:00+00:00,1552849200,,1552849200,1552852800,,None,Sammy Ofer Stadium (Haifa),None,,Match Finished,FT,90,,383,Ligat Ha'al,Israel,https://media-5.api-sports.io/football/leagues/383.png,https://media-2.api-sports.io/flags/il.svg,2018,Relegation Round - 1,,,2253,Hapoel Haifa,https://media-2.api-sports.io/football/teams/2253.png,None,,657,Beitar Jerusalem,https://media-1.api-sports.io/football/teams/657.png,None,,0,0,,,0,0,,0,0,,None,None,,None,None
