,Unnamed: 0,gameID,referee,date,timestamp,KOT,second,venueID,stadiums,city,leagueID,leagueName,country,logo,flag,season,round,homeTeamID,homeTeamName,homeTeamLogo,homeWinner,awayTeamID,awayTeamName,awayTeamLogo,awayWinner,homeGoals,awayGoals,homeHalfTimeScore,awayhomeHalfTimeScore,homeFullTimeScore,awayFullTimeScore,awayExtraTimeScore,awayPenaltyTimeScore,derby,while_world_cup,KOT_15_16,KOT_16_17,KOT_17_18,KOT_18_19,KOT_19_20,KOT_20_21,KOT_21_22,key_home,key_away,home_promoted,home_league_pts,home_pos,home_is_relegated,home_is_champion,away_promoted,away_league_pts,away_pos,away_is_relegated,away_is_champion,meanwhile_european_games
20,20,179949,None,2017-04-29,1493488800,21:00:00,1493492400,None,Winner Stadium (Netanya),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 7,604,Maccabi Tel Aviv,https://media-6.api-sports.io/football/teams/604.png,FALSE,563,Hapoel Beer Sheva,https://media-6.api-sports.io/football/teams/563.png,TRUE,1,2,1,0,1,2,None,None,0,0,0,0,0,0,0,0,1,Championship Round - 7 - 2016 - Maccabi Tel Aviv,Championship Round - 7 - 2016 - Hapoel Beer Sheva,0,13,2,,,0,21,1,,0.0,1
21,21,179950,None,2017-05-06,1494091800,20:30:00,1494095400,None,Acre Municipal Stadium ('Akko (Accre)),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 8,4481,Bnei Sakhnin,https://media-4.api-sports.io/football/teams/4481.png,FALSE,657,Beitar Jerusalem,https://media-5.api-sports.io/football/teams/657.png,TRUE,1,5,1,2,1,5,None,None,0,0,0,0,0,0,0,1,0,Championship Round - 8 - 2016 - Bnei Sakhnin,Championship Round - 8 - 2016 - Beitar Jerusalem,0,6,5,,,0,16,3,,,1
22,22,179951,None,2017-05-07,1494177300,20:15:00,1494180900,None,Sammy Ofer Stadium (Haifa),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 8,4195,Maccabi Haifa,https://media-6.api-sports.io/football/teams/4195.png,FALSE,604,Maccabi Tel Aviv,https://media-6.api-sports.io/football/teams/604.png,TRUE,0,2,0,2,0,2,None,None,0,0,0,0,0,0,0,1,0,Championship Round - 8 - 2016 - Maccabi Haifa,Championship Round - 8 - 2016 - Maccabi Tel Aviv,0,6,4,,,0,16,2,,,1
23,23,179952,None,2017-05-08,1494262800,20:00:00,1494266400,None,Yaakov Turner Toto Stadium (Be’ér Shéva (Beer Sheva) ),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 8,563,Hapoel Beer Sheva,https://media-4.api-sports.io/football/teams/563.png,None,4495,Maccabi Petah Tikva,https://media-4.api-sports.io/football/teams/4495.png,None,1,1,1,0,1,1,None,None,0,0,0,0,0,0,0,1,0,Championship Round - 8 - 2016 - Hapoel Beer Sheva,Championship Round - 8 - 2016 - Maccabi Petah Tikva,0,22,1,,0.0,0,4,6,,,0
24,24,179953,None,2017-05-13,1494687600,18:00:00,1494691200,None,Doha Stadium (Sakhnin),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 9,4481,Bnei Sakhnin,https://media-5.api-sports.io/football/teams/4481.png,TRUE,4195,Maccabi Haifa,https://media-2.api-sports.io/football/teams/4195.png,FALSE,1,0,1,0,1,0,None,None,0,0,0,0,0,1,0,0,0,Championship Round - 9 - 2016 - Bnei Sakhnin,Championship Round - 9 - 2016 - Maccabi Haifa,0,9,4,,,0,6,6,,,1
25,25,179954,None,2017-05-14,1494782100,20:15:00,1494785700,None,HaMoshava Stadium (Pétaḥ-Tiqva (Petach-Tikva)),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 9,4495,Maccabi Petah Tikva,https://media-1.api-sports.io/football/teams/4495.png,TRUE,604,Maccabi Tel Aviv,https://media-6.api-sports.io/football/teams/604.png,FALSE,2,1,0,0,2,1,None,None,0,0,0,0,0,0,0,1,0,Championship Round - 9 - 2016 - Maccabi Petah Tikva,Championship Round - 9 - 2016 - Maccabi Tel Aviv,0,7,5,,,0,16,3,,,1
26,26,179955,None,2017-05-15,1494869400,20:30:00,1494873000,None,Teddi Malcha Stadium (Jerusalem),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 9,657,Beitar Jerusalem,https://media-4.api-sports.io/football/teams/657.png,None,563,Hapoel Beer Sheva,https://media-6.api-sports.io/football/teams/563.png,None,1,1,0,1,1,1,None,None,0,0,0,0,0,0,0,1,0,Championship Round - 9 - 2016 - Beitar Jerusalem,Championship Round - 9 - 2016 - Hapoel Beer Sheva,0,17,2,,,0,23,1,,0.0,0
27,27,179956,None,2017-05-20,1495296000,19:00:00,1495299600,None,Yaakov Turner Toto Stadium (Be’ér Shéva (Beer Sheva) ),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 10,563,Hapoel Beer Sheva,https://media-4.api-sports.io/football/teams/563.png,TRUE,4481,Bnei Sakhnin,https://media-6.api-sports.io/football/teams/4481.png,FALSE,2,0,1,0,2,0,None,None,0,0,0,0,0,0,1,0,0,Championship Round - 10 - 2016 - Hapoel Beer Sheva,Championship Round - 10 - 2016 - Bnei Sakhnin,0,26,1,,1.0,0,9,4,,,1
28,28,179957,None,2017-05-20,1495301400,20:30:00,1495305000,None,Sammy Ofer Stadium (Haifa),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 10,4195,Maccabi Haifa,https://media-2.api-sports.io/football/teams/4195.png,None,4495,Maccabi Petah Tikva,https://media-1.api-sports.io/football/teams/4495.png,None,0,0,0,0,0,0,None,None,0,0,0,0,0,0,0,1,0,Championship Round - 10 - 2016 - Maccabi Haifa,Championship Round - 10 - 2016 - Maccabi Petah Tikva,0,7,6,,,0,8,5,,,1
29,29,179958,None,2017-05-20,1495301400,20:30:00,1495305000,None,Winner Stadium (Netanya),None,383,Ligat Ha'al,Israel,https://media-4.api-sports.io/football/leagues/383.png,https://media-6.api-sports.io/flags/il.svg,2016,Championship Round - 10,604,Maccabi Tel Aviv,https://media-1.api-sports.io/football/teams/604.png,FALSE,657,Beitar Jerusalem,https://media-4.api-sports.io/football/teams/657.png,TRUE,0,2,0,2,0,2,None,None,0,0,0,0,0,0,0,1,0,Championship Round - 10 - 2016 - Maccabi Tel Aviv,Championship Round - 10 - 2016 - Beitar Jerusalem,0,16,3,,,0,20,2,,,1
