match_date,kot,round_type,season_round,home_team,away_team,home_position,away_position,underdog,home_score,away_score,referee,stadium,attendance,season
17/04/2017,8:00 PM, Championship round,4,Hapoel Beer Sheva,Beitar Jerusalem,1,4,Beitar Jerusalem,2,0,Erez Papir,Toto Jacob Turner Stadium,14750,2016
22/04/2017,5:00 PM, Championship round,5,Maccabi Petah Tikva,Maccabi Haifa,3,6,Maccabi Haifa,0,1,Guy Berger,HaMoshava Stadium,3000,2016
22/04/2017,7:15 PM, Championship round,5,Ihud Bnei Sakhnin,Hapoel Beer Sheva,5,1,Ihud Bnei Sakhnin,1,3,Alon Yefet,Doha Stadium,4000,2016
22/04/2017,8:00 PM, Championship round,5,Beitar Jerusalem,Maccabi Tel Aviv,4,2,Beitar Jerusalem,1,1,Eli Hacmon,Teddy-Kollek-Stadion,7000,2016
25/04/2017,6:45 PM, Championship round,6,Ihud Bnei Sakhnin,Maccabi Tel Aviv,5,2,Ihud Bnei Sakhnin,1,3,Erez Papir,Doha Stadium,1700,2016
25/04/2017,8:00 PM, Championship round,6,Maccabi Haifa,Hapoel Beer Sheva,6,1,Maccabi Haifa,0,1,Eitan Shmuelevic,Sammy Ofer Stadium,19723,2016
26/04/2017,6:45 PM, Championship round,6,Beitar Jerusalem,Maccabi Petah Tikva,3,4,Maccabi Petah Tikva,2,1,Liran Liany,Teddy-Kollek-Stadion,6500,2016
29/04/2017,5:00 PM, Championship round,7,Maccabi Petah Tikva,Ihud Bnei Sakhnin,4,5,Ihud Bnei Sakhnin,1,0,Zvika Levi,HaMoshava Stadium,2000,2016
29/04/2017,7:10 PM, Championship round,7,Beitar Jerusalem,Maccabi Haifa,3,6,Maccabi Haifa,2,0,Roi Reinshreiber,Teddy-Kollek-Stadion,6500,2016
29/04/2017,8:00 PM, Championship round,7,Maccabi Tel Aviv,Hapoel Beer Sheva,2,1,Maccabi Tel Aviv,1,2,Liran Liany,Netanya Stadium,12206,2016
06/05/2017,7:30 PM, Championship round,8,Ihud Bnei Sakhnin,Beitar Jerusalem,5,3,Ihud Bnei Sakhnin,1,5,Ziv Adler,Akko Municipal Stadium,700,2016
07/05/2017,7:15 PM, Championship round,8,Maccabi Haifa,Maccabi Tel Aviv,6,2,Maccabi Haifa,0,2,Igal Frid,Sammy Ofer Stadium,12000,2016
08/05/2017,7:00 PM, Championship round,8,Hapoel Beer Sheva,Maccabi Petah Tikva,1,4,Maccabi Petah Tikva,1,1,Gal Leibovitz,Toto Jacob Turner Stadium,15125,2016
13/05/2017,5:00 PM, Championship round,9,Ihud Bnei Sakhnin,Maccabi Haifa,5,6,Maccabi Haifa,1,0,Aviad Shiloah,Doha Stadium,1000,2016
14/05/2017,7:15 PM, Championship round,9,Maccabi Petah Tikva,Maccabi Tel Aviv,4,2,Maccabi Petah Tikva,2,1,Guy Berger,HaMoshava Stadium,3000,2016
15/05/2017,7:30 PM, Championship round,9,Beitar Jerusalem,Hapoel Beer Sheva,3,1,Beitar Jerusalem,1,1,Shalom Ben Avraham,Teddy-Kollek-Stadion,5700,2016
20/05/2017,6:00 PM, Championship round,10,Hapoel Beer Sheva,Ihud Bnei Sakhnin,1,5,Ihud Bnei Sakhnin,2,0,Nael Odeh,Toto Jacob Turner Stadium,10180,2016
20/05/2017,7:30 PM, Championship round,10,Maccabi Haifa,Maccabi Petah Tikva,6,4,Maccabi Haifa,0,0,Daniel Bar Natan,Sammy Ofer Stadium,4280,2016
20/05/2017,7:30 PM, Championship round,10,Maccabi Tel Aviv,Beitar Jerusalem,2,3,Beitar Jerusalem,0,2,Erez Papir,Netanya Stadium,7170,2016
