match_date,kot,round_type,season_round,home_team,away_team,home_score,away_score,referee,stadium,attendance,season
28/10/2020,9:00 pm,Regular round,Group H,Manchester United,RB Leipzig,5,0,Matej Jug,Old Trafford,0,2020
04/11/2020,6:55 pm,Regular round,Group H,Basaksehir FK,Manchester United,2,1,Davide Massa,Başakşehir Fatih Terim,0,2020
04/11/2020,9:00 pm,Regular round,Group H,RB Leipzig,Paris Saint-Germain,2,1,Szymon Marciniak,Red Bull Arena,0,2020
24/11/2020,9:00 pm,Regular round,Group H,Manchester United,Basaksehir FK,4,1,Ovidiu Hategan,Old Trafford,0,2020
24/11/2020,9:00 pm,Regular round,Group H,Paris Saint-Germain,RB Leipzig,1,0,Danny Makkelie,Parc des Princes,0,2020
02/12/2020,6:55 pm,Regular round,Group H,Basaksehir FK,RB Leipzig,3,4,Carlos del Cerro Grande,Başakşehir Fatih Terim,0,2020
02/12/2020,9:00 pm,Regular round,Group H,Manchester United,Paris Saint-Germain,1,3,Daniele Orsato,Old Trafford,0,2020
08/12/2020,9:00 pm,Regular round,Group H,RB Leipzig,Manchester United,3,2,Mateu Lahoz,Red Bull Arena,0,2020
09/12/2020,6:55 pm,Regular round,Group H,Paris Saint-Germain,Basaksehir FK,5,1,Danny Makkelie,Parc des Princes,0,2020
16/02/2021,9:00 PM  2nd leg:,Regular round,last 16 1st leg,FC Barcelona,Paris Saint-Germain,1,4,Björn Kuipers,Spotify Camp Nou,0,2020
16/02/2021,9:00 PM  2nd leg:,Regular round,last 16 1st leg,RB Leipzig,Liverpool FC,0,2,Slavko Vincic,Puskás Aréna,0,2020
17/02/2021,9:00 PM  2nd leg:,Regular round,last 16 1st leg,Sevilla FC,Borussia Dortmund,2,3,Danny Makkelie,Ramón Sánchez-Pizjuán,0,2020
17/02/2021,9:00 PM  2nd leg:,Regular round,last 16 1st leg,FC Porto,Juventus FC,2,1,Carlos del Cerro Grande,Estádio do Dragão,0,2020
23/02/2021,9:00 PM  2nd leg:,Regular round,last 16 1st leg,SS Lazio,Bayern Munich,1,4,Orel Grinfeld,Olimpico di Roma,0,2020
23/02/2021,9:00 PM  2nd leg:,Regular round,last 16 1st leg,Atlético de Madrid,Chelsea FC,0,1,Dr. Felix Brych,Arena Națională,0,2020
24/02/2021,9:00 PM  2nd leg:,Regular round,last 16 1st leg,Borussia Mönchengladbach,Manchester City,0,2,Artur Soares Dias,Puskás Aréna,0,2020
24/02/2021,9:00 PM  2nd leg:,Regular round,last 16 1st leg,Atalanta BC,Real Madrid,0,1,Tobias Stieler,Gewiss Stadium,0,2020
09/03/2021,9:00 PM  1st leg:,Regular round,last 16 2nd leg,Juventus FC,FC Porto,3,2,Björn Kuipers,Allianz Stadium,0,2020
09/03/2021,9:00 PM  1st leg:,Regular round,last 16 2nd leg,Borussia Dortmund,Sevilla FC,2,2,Cüneyt Cakir,SIGNAL IDUNA PARK,0,2020
10/03/2021,9:00 PM  1st leg:,Regular round,last 16 2nd leg,Paris Saint-Germain,FC Barcelona,1,1,Anthony Taylor,Parc des Princes,0,2020
10/03/2021,9:00 PM  1st leg:,Regular round,last 16 2nd leg,Liverpool FC,RB Leipzig,2,0,Clément Turpin,Puskás Aréna,0,2020
16/03/2021,9:00 PM  1st leg:,Regular round,last 16 2nd leg,Manchester City,Borussia Mönchengladbach,2,0,Sergey Karasev,Puskás Aréna,0,2020
16/03/2021,9:00 PM  1st leg:,Regular round,last 16 2nd leg,Real Madrid,Atalanta BC,3,1,Danny Makkelie,Estadio Alfredo Di Stéfano,0,2020
17/03/2021,9:00 PM  1st leg:,Regular round,last 16 2nd leg,Chelsea FC,Atlético de Madrid,2,0,Daniele Orsato,Stamford Bridge,0,2020
17/03/2021,9:00 PM  1st leg:,Regular round,last 16 2nd leg,Bayern Munich,SS Lazio,2,1,Istvan Kovacs,Allianz Arena,0,2020
06/04/2021,9:00 PM  2nd leg:,Regular round,Quarter-Finals 1st leg,Manchester City,Borussia Dortmund,2,1,Ovidiu Hategan,Etihad Stadium,0,2020
06/04/2021,9:00 PM  2nd leg:,Regular round,Quarter-Finals 1st leg,Real Madrid,Liverpool FC,3,1,Dr. Felix Brych,Estadio Alfredo Di Stéfano,0,2020
07/04/2021,9:00 PM  2nd leg:,Regular round,Quarter-Finals 1st leg,Bayern Munich,Paris Saint-Germain,2,3,Mateu Lahoz,Allianz Arena,0,2020
07/04/2021,9:00 PM  2nd leg:,Regular round,Quarter-Finals 1st leg,FC Porto,Chelsea FC,0,2,Slavko Vincic,Ramón Sánchez-Pizjuán,0,2020
13/04/2021,9:00 PM  1st leg:,Regular round,Quarter-Finals 2nd leg,Paris Saint-Germain,Bayern Munich,0,1,Daniele Orsato,Parc des Princes,0,2020
13/04/2021,9:00 PM  1st leg:,Regular round,Quarter-Finals 2nd leg,Chelsea FC,FC Porto,0,1,Clément Turpin,Ramón Sánchez-Pizjuán,0,2020
14/04/2021,9:00 PM  1st leg:,Regular round,Quarter-Finals 2nd leg,Borussia Dortmund,Manchester City,1,2,Carlos del Cerro Grande,SIGNAL IDUNA PARK,0,2020
14/04/2021,9:00 PM  1st leg:,Regular round,Quarter-Finals 2nd leg,Liverpool FC,Real Madrid,0,0,Björn Kuipers,Anfield,0,2020
27/04/2021,9:00 PM  2nd leg:,Regular round,Semi-Finals 1st Leg,Real Madrid,Chelsea FC,1,1,Danny Makkelie,Estadio Alfredo Di Stéfano,0,2020
28/04/2021,9:00 PM  2nd leg:,Regular round,Semi-Finals 1st Leg,Paris Saint-Germain,Manchester City,1,2,Dr. Felix Brych,Parc des Princes,0,2020
04/05/2021,9:00 PM  1st leg:,Regular round,Semi-Finals 2nd Leg,Manchester City,Paris Saint-Germain,2,0,Björn Kuipers,Etihad Stadium,0,2020
05/05/2021,9:00 PM  1st leg:,Regular round,Semi-Finals 2nd Leg,Chelsea FC,Real Madrid,2,0,Daniele Orsato,Stamford Bridge,0,2020
29/05/2021,9:00 pm,Regular round,Final,Manchester City,Chelsea FC,0,1,Mateu Lahoz,Estádio do Dragão,14110,2020
15/09/2021,9:00 pm,Regular round,Group A,Manchester City,RB Leipzig,6,3,Serdar Gözübüyük,Etihad Stadium,38062,2021
15/09/2021,9:00 pm,Regular round,Group A,Club Brugge KV,Paris Saint-Germain,1,1,Sandro Schärer,Jan-Breydel-Stadion,27546,2021
28/09/2021,9:00 pm,Regular round,Group A,Paris Saint-Germain,Manchester City,2,0,Carlos del Cerro Grande,Parc des Princes,47350,2021
28/09/2021,9:00 pm,Regular round,Group A,RB Leipzig,Club Brugge KV,1,2,Slavko Vincic,Red Bull Arena,23500,2021
19/10/2021,6:45 pm,Regular round,Group A,Club Brugge KV,Manchester City,1,5,Istvan Kovacs,Jan-Breydel-Stadion,24915,2021
19/10/2021,9:00 pm,Regular round,Group A,Paris Saint-Germain,RB Leipzig,3,2,Marco Guida,Parc des Princes,47359,2021
03/11/2021,9:00 pm,Regular round,Group A,RB Leipzig,Paris Saint-Germain,2,2,Andreas Ekberg,Red Bull Arena,39794,2021
03/11/2021,9:00 pm,Regular round,Group A,Manchester City,Club Brugge KV,4,1,Mateu Lahoz,Etihad Stadium,50228,2021
24/11/2021,9:00 pm,Regular round,Group A,Club Brugge KV,RB Leipzig,0,5,Davide Massa,Jan-Breydel-Stadion,24072,2021
24/11/2021,9:00 pm,Regular round,Group A,Manchester City,Paris Saint-Germain,2,1,Daniele Orsato,Etihad Stadium,52030,2021
07/12/2021,6:45 pm,Regular round,Group A,RB Leipzig,Manchester City,2,1,Sandro Schärer,Red Bull Arena,0,2021
07/12/2021,6:45 pm,Regular round,Group A,Paris Saint-Germain,Club Brugge KV,4,1,Jesús Gil Manzano,Parc des Princes,0,2021
15/09/2021,9:00 pm,Regular round,Group B,Atlético de Madrid,FC Porto,0,0,Ovidiu Hategan,Civitas Metropolitano,40098,2021
15/09/2021,9:00 pm,Regular round,Group B,Liverpool FC,AC Milan,3,2,Szymon Marciniak,Anfield,51445,2021
28/09/2021,9:00 pm,Regular round,Group B,AC Milan,Atlético de Madrid,1,2,Cüneyt Cakir,Giuseppe Meazza,35374,2021
28/09/2021,9:00 pm,Regular round,Group B,FC Porto,Liverpool FC,1,5,Sergey Karasev,Estádio do Dragão,23520,2021
19/10/2021,9:00 pm,Regular round,Group B,Atlético de Madrid,Liverpool FC,2,3,Daniel Siebert,Civitas Metropolitano,60725,2021
19/10/2021,9:00 pm,Regular round,Group B,FC Porto,AC Milan,1,0,Dr. Felix Brych,Estádio do Dragão,32130,2021
03/11/2021,6:45 pm,Regular round,Group B,AC Milan,FC Porto,1,1,Clément Turpin,Giuseppe Meazza,39675,2021
03/11/2021,9:00 pm,Regular round,Group B,Liverpool FC,Atlético de Madrid,2,0,Danny Makkelie,Anfield,51347,2021
24/11/2021,9:00 pm,Regular round,Group B,Liverpool FC,FC Porto,2,0,Felix Zwayer,Anfield,52209,2021
24/11/2021,9:00 pm,Regular round,Group B,Atlético de Madrid,AC Milan,0,1,Slavko Vincic,Civitas Metropolitano,61019,2021
07/12/2021,9:00 pm,Regular round,Group B,AC Milan,Liverpool FC,1,2,Danny Makkelie,Giuseppe Meazza,56237,2021
07/12/2021,9:00 pm,Regular round,Group B,FC Porto,Atlético de Madrid,1,3,Clément Turpin,Estádio do Dragão,38830,2021
15/09/2021,6:45 pm,Regular round,Group C,Besiktas JK,Borussia Dortmund,1,2,Mateu Lahoz,Vodafone Park,22445,2021
15/09/2021,9:00 pm,Regular round,Group C,Sporting CP,Ajax Amsterdam,1,5,José María Sánchez Martínez,Estádio José Alvalade XXI,20382,2021
28/09/2021,6:45 pm,Regular round,Group C,Ajax Amsterdam,Besiktas JK,2,0,Benoît Bastien,Johan Cruijff ArenA,52628,2021
28/09/2021,9:00 pm,Regular round,Group C,Borussia Dortmund,Sporting CP,1,0,Srdjan Jovanovic,SIGNAL IDUNA PARK,25000,2021
19/10/2021,6:45 pm,Regular round,Group C,Besiktas JK,Sporting CP,1,4,Slavko Vincic,Vodafone Park,22936,2021
19/10/2021,9:00 pm,Regular round,Group C,Ajax Amsterdam,Borussia Dortmund,4,0,Jesús Gil Manzano,Johan Cruijff ArenA,54029,2021
03/11/2021,9:00 pm,Regular round,Group C,Borussia Dortmund,Ajax Amsterdam,1,3,Michael Oliver,SIGNAL IDUNA PARK,67000,2021
03/11/2021,9:00 pm,Regular round,Group C,Sporting CP,Besiktas JK,4,0,Sergey Karasev,Estádio José Alvalade XXI,40835,2021
24/11/2021,6:45 pm,Regular round,Group C,Besiktas JK,Ajax Amsterdam,1,2,Irfan Peljto,Vodafone Park,11712,2021
24/11/2021,9:00 pm,Regular round,Group C,Sporting CP,Borussia Dortmund,3,1,Carlos del Cerro Grande,Estádio José Alvalade XXI,41341,2021
07/12/2021,9:00 pm,Regular round,Group C,Ajax Amsterdam,Sporting CP,4,2,Davide Massa,Johan Cruijff ArenA,0,2021
07/12/2021,9:00 pm,Regular round,Group C,Borussia Dortmund,Besiktas JK,5,0,François Letexier,SIGNAL IDUNA PARK,15000,2021
15/09/2021,6:45 pm,Regular round,Group D,FC Sheriff Tiraspol,Shakhtar Donetsk,2,0,Deniz Aytekin,Sheriff,5205,2021
15/09/2021,9:00 pm,Regular round,Group D,Inter Milan,Real Madrid,0,1,Daniel Siebert,Giuseppe Meazza,37082,2021
28/09/2021,6:45 pm,Regular round,Group D,Shakhtar Donetsk,Inter Milan,0,0,Istvan Kovacs,NSK Olimpiyskyi,26170,2021
28/09/2021,9:00 pm,Regular round,Group D,Real Madrid,FC Sheriff Tiraspol,1,2,Lawrence Visser,Santiago Bernabéu,24522,2021
19/10/2021,9:00 pm,Regular round,Group D,Shakhtar Donetsk,Real Madrid,0,5,Srdjan Jovanovic,NSK Olimpiyskyi,34037,2021
19/10/2021,9:00 pm,Regular round,Group D,Inter Milan,FC Sheriff Tiraspol,3,1,Danny Makkelie,Giuseppe Meazza,43305,2021
03/11/2021,6:45 pm,Regular round,Group D,Real Madrid,Shakhtar Donetsk,2,1,Benoît Bastien,Santiago Bernabéu,38105,2021
03/11/2021,9:00 pm,Regular round,Group D,FC Sheriff Tiraspol,Inter Milan,1,3,Felix Zwayer,Sheriff,5930,2021
24/11/2021,6:45 pm,Regular round,Group D,Inter Milan,Shakhtar Donetsk,2,0,Ovidiu Hategan,Giuseppe Meazza,46225,2021
24/11/2021,9:00 pm,Regular round,Group D,FC Sheriff Tiraspol,Real Madrid,0,3,Szymon Marciniak,Sheriff,5932,2021
07/12/2021,9:00 pm,Regular round,Group D,Shakhtar Donetsk,FC Sheriff Tiraspol,1,1,Donatas Rumsas,NSK Olimpiyskyi,6841,2021
07/12/2021,9:00 pm,Regular round,Group D,Real Madrid,Inter Milan,2,0,Dr. Felix Brych,Santiago Bernabéu,46887,2021
14/09/2021,9:00 pm,Regular round,Group E,Dynamo Kyiv,SL Benfica,0,0,Anthony Taylor,NSK Olimpisky,21657,2021
14/09/2021,9:00 pm,Regular round,Group E,FC Barcelona,Bayern Munich,0,3,Michael Oliver,Spotify Camp Nou,39737,2021
29/09/2021,9:00 pm,Regular round,Group E,SL Benfica,FC Barcelona,3,0,Daniele Orsato,Estádio da Luz,29454,2021
29/09/2021,9:00 pm,Regular round,Group E,Bayern Munich,Dynamo Kyiv,5,0,Marco Guida,Allianz Arena,25000,2021
20/10/2021,6:45 pm,Regular round,Group E,FC Barcelona,Dynamo Kyiv,1,0,Clément Turpin,Spotify Camp Nou,45968,2021
20/10/2021,9:00 pm,Regular round,Group E,SL Benfica,Bayern Munich,0,4,Ovidiu Hategan,Estádio da Luz,55200,2021
02/11/2021,9:00 pm,Regular round,Group E,Dynamo Kyiv,FC Barcelona,0,1,Ovidiu Hategan,NSK Olimpisky,31378,2021
02/11/2021,9:00 pm,Regular round,Group E,Bayern Munich,SL Benfica,5,2,Szymon Marciniak,Allianz Arena,50000,2021
23/11/2021,6:45 pm,Regular round,Group E,Dynamo Kyiv,Bayern Munich,1,2,Halil Umut Meler,NSK Olimpisky,28732,2021
23/11/2021,9:00 pm,Regular round,Group E,FC Barcelona,SL Benfica,0,0,Sergey Karasev,Spotify Camp Nou,49572,2021
08/12/2021,9:00 pm,Regular round,Group E,SL Benfica,Dynamo Kyiv,2,0,Deniz Aytekin,Estádio da Luz,36591,2021
08/12/2021,9:00 pm,Regular round,Group E,Bayern Munich,FC Barcelona,3,0,Ovidiu Hategan,Allianz Arena,0,2021
14/09/2021,6:45 pm,Regular round,Group F,BSC Young Boys,Manchester United,2,1,François Letexier,Stadion Wankdorf,31120,2021
14/09/2021,9:00 pm,Regular round,Group F,Villarreal CF,Atalanta BC,2,2,Clément Turpin,La Cerámica,12918,2021
29/09/2021,6:45 pm,Regular round,Group F,Atalanta BC,BSC Young Boys,1,0,Dr. Felix Brych,Gewiss Stadium,8536,2021
29/09/2021,9:00 pm,Regular round,Group F,Manchester United,Villarreal CF,2,1,Felix Zwayer,Old Trafford,73130,2021
20/10/2021,9:00 pm,Regular round,Group F,BSC Young Boys,Villarreal CF,1,4,Sergey Karasev,Stadion Wankdorf,27398,2021
20/10/2021,9:00 pm,Regular round,Group F,Manchester United,Atalanta BC,3,2,Szymon Marciniak,Old Trafford,72279,2021
02/11/2021,9:00 pm,Regular round,Group F,Atalanta BC,Manchester United,2,2,Slavko Vincic,Gewiss Stadium,14443,2021
02/11/2021,9:00 pm,Regular round,Group F,Villarreal CF,BSC Young Boys,2,0,Serdar Gözübüyük,La Cerámica,14890,2021
23/11/2021,6:45 pm,Regular round,Group F,Villarreal CF,Manchester United,0,2,Dr. Felix Brych,La Cerámica,20875,2021
23/11/2021,9:00 pm,Regular round,Group F,BSC Young Boys,Atalanta BC,3,3,Daniel Siebert,Stadion Wankdorf,31120,2021
08/12/2021,9:00 pm,Regular round,Group F,Manchester United,BSC Young Boys,1,1,Benoît Bastien,Old Trafford,73156,2021
09/12/2021,7:00 pm,Regular round,Group F,Atalanta BC,Villarreal CF,2,3,Anthony Taylor,Gewiss Stadium,0,2021
14/09/2021,6:45 pm,Regular round,Group G,Sevilla FC,Red Bull Salzburg,1,1,Aleksey Kulbakov,Ramón Sánchez-Pizjuán,18373,2021
14/09/2021,9:00 pm,Regular round,Group G,LOSC Lille,VfL Wolfsburg,0,0,Danny Makkelie,Decathlon Arena-Stade Pierre-Mauroy,34314,2021
29/09/2021,9:00 pm,Regular round,Group G,Red Bull Salzburg,LOSC Lille,2,1,Halil Umut Meler,Red Bull Arena Salzburg,24207,2021
29/09/2021,9:00 pm,Regular round,Group G,VfL Wolfsburg,Sevilla FC,1,1,Georgi Kabakov,Volkswagen Arena,11733,2021
20/10/2021,6:45 pm,Regular round,Group G,Red Bull Salzburg,VfL Wolfsburg,3,1,Daniele Orsato,Red Bull Arena Salzburg,29520,2021
20/10/2021,9:00 pm,Regular round,Group G,LOSC Lille,Sevilla FC,0,0,Michael Oliver,Decathlon Arena-Stade Pierre-Mauroy,34362,2021
02/11/2021,6:45 pm,Regular round,Group G,VfL Wolfsburg,Red Bull Salzburg,2,1,Artur Soares Dias,Volkswagen Arena,16112,2021
02/11/2021,9:00 pm,Regular round,Group G,Sevilla FC,LOSC Lille,1,2,Istvan Kovacs,Ramón Sánchez-Pizjuán,29369,2021
23/11/2021,9:00 pm,Regular round,Group G,LOSC Lille,Red Bull Salzburg,1,0,Anthony Taylor,Decathlon Arena-Stade Pierre-Mauroy,33573,2021
23/11/2021,9:00 pm,Regular round,Group G,Sevilla FC,VfL Wolfsburg,2,0,Cüneyt Cakir,Ramón Sánchez-Pizjuán,28663,2021
08/12/2021,9:00 pm,Regular round,Group G,VfL Wolfsburg,LOSC Lille,1,3,Daniele Orsato,Volkswagen Arena,6544,2021
08/12/2021,9:00 pm,Regular round,Group G,Red Bull Salzburg,Sevilla FC,1,0,Slavko Vincic,Red Bull Arena Salzburg,0,2021
14/09/2021,9:00 pm,Regular round,Group H,Chelsea FC,Zenit St. Petersburg,1,0,Bartosz Frankowski,Stamford Bridge,39252,2021
14/09/2021,9:00 pm,Regular round,Group H,Malmö FF,Juventus FC,0,3,Artur Soares Dias,Eleda Stadion,5832,2021
29/09/2021,6:45 pm,Regular round,Group H,Zenit St. Petersburg,Malmö FF,4,0,Anastasios Sidiropoulos,Gazprom Arena,15339,2021
29/09/2021,9:00 pm,Regular round,Group H,Juventus FC,Chelsea FC,1,0,Jesús Gil Manzano,Allianz Stadium,19934,2021
20/10/2021,9:00 pm,Regular round,Group H,Chelsea FC,Malmö FF,4,0,François Letexier,Stamford Bridge,39095,2021
20/10/2021,9:00 pm,Regular round,Group H,Zenit St. Petersburg,Juventus FC,0,1,Sandro Schärer,Gazprom Arena,18717,2021
02/11/2021,6:45 pm,Regular round,Group H,Malmö FF,Chelsea FC,0,1,Dr. Felix Brych,Eleda Stadion,19551,2021
02/11/2021,9:00 pm,Regular round,Group H,Juventus FC,Zenit St. Petersburg,4,2,Alejandro Hernández Hernández,Allianz Stadium,20053,2021
23/11/2021,9:00 pm,Regular round,Group H,Chelsea FC,Juventus FC,4,0,Srdjan Jovanovic,Stamford Bridge,39513,2021
23/11/2021,9:00 pm,Regular round,Group H,Malmö FF,Zenit St. Petersburg,1,1,Andris Treimanis,Eleda Stadion,15520,2021
08/12/2021,6:45 pm,Regular round,Group H,Zenit St. Petersburg,Chelsea FC,3,3,Serdar Gözübüyük,Gazprom Arena,29349,2021
08/12/2021,6:45 pm,Regular round,Group H,Juventus FC,Malmö FF,1,0,Irfan Peljto,Allianz Stadium,17501,2021
15/02/2022,9:00 PM  2nd leg:,Regular round,last 16 1st leg,Paris Saint-Germain,Real Madrid,1,0,Daniele Orsato,Parc des Princes,47443,2021
15/02/2022,9:00 PM  2nd leg:,Regular round,last 16 1st leg,Sporting CP,Manchester City,0,5,Srdjan Jovanovic,Estádio José Alvalade XXI,48129,2021
16/02/2022,9:00 PM  2nd leg:,Regular round,last 16 1st leg,Red Bull Salzburg,Bayern Munich,1,1,Michael Oliver,Red Bull Arena Salzburg,30000,2021
16/02/2022,9:00 PM  2nd leg:,Regular round,last 16 1st leg,Inter Milan,Liverpool FC,0,2,Szymon Marciniak,Giuseppe Meazza,37918,2021
22/02/2022,9:00 PM  2nd leg:,Regular round,last 16 1st leg,Villarreal CF,Juventus FC,1,1,Daniel Siebert,La Cerámica,17686,2021
22/02/2022,9:00 PM  2nd leg:,Regular round,last 16 1st leg,Chelsea FC,LOSC Lille,2,0,Jesús Gil Manzano,Stamford Bridge,38832,2021
23/02/2022,9:00 PM  2nd leg:,Regular round,last 16 1st leg,Atlético de Madrid,Manchester United,1,1,Ovidiu Hategan,Civitas Metropolitano,63273,2021
23/02/2022,9:00 PM  2nd leg:,Regular round,last 16 1st leg,SL Benfica,Ajax Amsterdam,2,2,Slavko Vincic,Estádio da Luz,65647,2021
08/03/2022,9:00 PM  1st leg:,Regular round,last 16 2nd leg,Bayern Munich,Red Bull Salzburg,7,1,Clément Turpin,Allianz Arena,25000,2021
08/03/2022,9:00 PM  1st leg:,Regular round,last 16 2nd leg,Liverpool FC,Inter Milan,0,1,Mateu Lahoz,Anfield,51747,2021
09/03/2022,9:00 PM  1st leg:,Regular round,last 16 2nd leg,Real Madrid,Paris Saint-Germain,3,1,Danny Makkelie,Santiago Bernabéu,59895,2021
09/03/2022,9:00 PM  1st leg:,Regular round,last 16 2nd leg,Manchester City,Sporting CP,0,0,Halil Umut Meler,Etihad Stadium,51213,2021
15/03/2022,9:00 PM  1st leg:,Regular round,last 16 2nd leg,Manchester United,Atlético de Madrid,0,1,Slavko Vincic,Old Trafford,73008,2021
15/03/2022,9:00 PM  1st leg:,Regular round,last 16 2nd leg,Ajax Amsterdam,SL Benfica,0,1,Carlos del Cerro Grande,Johan Cruijff ArenA,54066,2021
16/03/2022,9:00 PM  1st leg:,Regular round,last 16 2nd leg,Juventus FC,Villarreal CF,0,3,Szymon Marciniak,Allianz Stadium,30385,2021
16/03/2022,9:00 PM  1st leg:,Regular round,last 16 2nd leg,LOSC Lille,Chelsea FC,1,2,Davide Massa,Decathlon Arena-Stade Pierre-Mauroy,49048,2021
05/04/2022,9:00 PM  2nd leg:,Regular round,Quarter-Finals 1st leg,SL Benfica,Liverpool FC,1,3,Jesús Gil Manzano,Estádio da Luz,59633,2021
05/04/2022,9:00 PM  2nd leg:,Regular round,Quarter-Finals 1st leg,Manchester City,Atlético de Madrid,1,0,Istvan Kovacs,Etihad Stadium,52018,2021
06/04/2022,9:00 PM  2nd leg:,Regular round,Quarter-Finals 1st leg,Villarreal CF,Bayern Munich,1,0,Anthony Taylor,La Cerámica,21626,2021
06/04/2022,9:00 PM  2nd leg:,Regular round,Quarter-Finals 1st leg,Chelsea FC,Real Madrid,1,3,Clément Turpin,Stamford Bridge,38689,2021
12/04/2022,9:00 PM  1st leg:,Regular round,Quarter-Finals 2nd leg,Bayern Munich,Villarreal CF,1,1,Slavko Vincic,Allianz Arena,70000,2021
12/04/2022,9:00 PM  1st leg:,Regular round,Quarter-Finals 2nd leg,Real Madrid,Chelsea FC,2,3,Szymon Marciniak,Santiago Bernabéu,59839,2021
13/04/2022,9:00 PM  1st leg:,Regular round,Quarter-Finals 2nd leg,Liverpool FC,SL Benfica,3,3,Serdar Gözübüyük,Anfield,51373,2021
13/04/2022,9:00 PM  1st leg:,Regular round,Quarter-Finals 2nd leg,Atlético de Madrid,Manchester City,0,0,Daniel Siebert,Civitas Metropolitano,65675,2021
26/04/2022,9:00 PM  2nd leg:,Regular round,Semi-Finals 1st Leg,Manchester City,Real Madrid,4,3,Istvan Kovacs,Etihad Stadium,52217,2021
27/04/2022,9:00 PM  2nd leg:,Regular round,Semi-Finals 1st Leg,Liverpool FC,Villarreal CF,2,0,Szymon Marciniak,Anfield,51586,2021
03/05/2022,9:00 PM  1st leg:,Regular round,Semi-Finals 2nd Leg,Villarreal CF,Liverpool FC,2,3,Danny Makkelie,La Cerámica,21872,2021
04/05/2022,9:00 PM  1st leg:,Regular round,Semi-Finals 2nd Leg,Real Madrid,Manchester City,3,1,Daniele Orsato,Santiago Bernabéu,61416,2021
28/05/2022,9:37 pm,Regular round,Final,Liverpool FC,Real Madrid,0,1,Clément Turpin,Stade de France,75000,2021
