match_date,kot,round_type,season_round,home_team,away_team,home_position,away_position,underdog,home_score,away_score,referee,stadium,attendance,season
29/10/2022,6:30 PM,Regular round,10,Maccabi Netanya,Maccabi Bnei Reineh,12,8,Maccabi Netanya,2,1,Shalom Ben Avraham,Netanya Stadium,0,2022
29/10/2022,7:15 PM,Regular round,10,Beitar Jerusalem,Hapoel Haifa,10,11,Hapoel Haifa,0,0,Niv Steif,Teddy-Kollek-Stadion,11000,2022
30/10/2022,7:15 PM,Regular round,10,Hapoel Tel Aviv,Ironi Kiryat Shmona,9,13,Ironi Kiryat Shmona,2,1,Ohad Asulin,Bloomfield,0,2022
31/10/2022,7:30 PM,Regular round,10,Hapoel Beer Sheva,Maccabi Tel Aviv,3,2,Hapoel Beer Sheva,2,0,Eitan Shmuelevic,Toto Jacob Turner Stadium,15060,2022
05/11/2022,2:00 PM,Regular round,11,Maccabi Tel Aviv,Sekzia Ness Ziona,2,14,Sekzia Ness Ziona,1,1,Snir Levi,Bloomfield,21449,2022
05/11/2022,4:30 PM,Regular round,11,Hapoel Hadera,Maccabi Netanya,5,13,Maccabi Netanya,3,1,Nael Odeh,Netanya Stadium,3918,2022
05/11/2022,5:00 PM,Regular round,11,Hapoel Haifa,Hapoel Jerusalem,8,4,Hapoel Haifa,1,0,Roi Reinshreiber,Sammy Ofer Stadium,4450,2022
05/11/2022,5:00 PM,Regular round,11,Ironi Kiryat Shmona,Ihud Bnei Sakhnin,12,7,Ironi Kiryat Shmona,1,1,Erez Papir,Kiryat Shmona Municipal Stadium,2500,2022
05/11/2022,6:30 PM,Regular round,11,FC Ashdod,Hapoel Tel Aviv,6,10,Hapoel Tel Aviv,1,0,David Fucsman,Yud-Alef Stadion,4677,2022
06/11/2022,7:15 PM,Regular round,11,Maccabi Bnei Reineh,Hapoel Beer Sheva,9,3,Maccabi Bnei Reineh,0,3,Gal Leibovitz,Green Stadium,1791,2022
06/11/2022,7:30 PM,Regular round,11,Beitar Jerusalem,Maccabi Haifa,11,1,Beitar Jerusalem,1,4,Orel Grinfeld,Teddy-Kollek-Stadion,19000,2022
