season,clubs_name,round,promoted,game,win,draw,lose,goals,g_difference,pts,team_pos
22/23,Sekzia Ness Ziona,13,0,Regular,2,5,6,12:22,-10,11,12
22/23,Ironi Kiryat Shmona,13,0,Regular,1,6,6,12:19,-7,9,13
22/23,Maccabi Haifa,14,0,Regular,12,0,2,32:14,18,36,0
22/23,Maccabi Tel Aviv,14,0,Regular,10,2,2,32:6,26,32,1
22/23,Hapoel Beer Sheva,14,0,Regular,10,2,2,31:11,20,32,2
22/23,Hapoel Jerusalem,14,0,Regular,7,3,4,20:13,7,24,3
22/23,Hapoel Hadera,14,0,Regular,4,7,3,15:18,-3,19,4
22/23,FC Ashdod,14,0,Regular,4,5,5,15:17,-2,17,5
22/23,Beitar Jerusalem,14,0,Regular,5,1,8,21:29,-8,16,6
22/23,Ihud Bnei Sakhnin,14,0,Regular,4,3,7,13:18,-5,15,7
22/23,Maccabi Netanya,14,0,Regular,4,3,7,17:27,-10,15,8
22/23,Hapoel Tel Aviv,14,0,Regular,4,2,8,19:28,-9,14,9
22/23,Hapoel Haifa,14,0,Regular,2,7,5,12:17,-5,13,10
22/23,Maccabi Bnei Reineh,14,0,Regular,3,4,7,14:26,-12,13,11
22/23,Sekzia Ness Ziona,14,0,Regular,2,6,6,15:25,-10,12,12
22/23,Ironi Kiryat Shmona,14,0,Regular,1,7,6,15:22,-7,10,13
22/23,Maccabi Haifa,15,0,Regular,13,0,2,34:14,20,39,0
22/23,Maccabi Tel Aviv,15,0,Regular,11,2,2,37:6,31,35,1
22/23,Hapoel Beer Sheva,15,0,Regular,11,2,2,34:13,21,35,2
22/23,Hapoel Jerusalem,15,0,Regular,7,4,4,21:14,7,25,3
22/23,Hapoel Hadera,15,0,Regular,4,7,4,15:23,-8,19,4
22/23,FC Ashdod,15,0,Regular,4,5,6,15:19,-4,17,5
22/23,Ihud Bnei Sakhnin,15,0,Regular,4,4,7,14:19,-5,16,6
22/23,Beitar Jerusalem,15,0,Regular,5,1,9,23:32,-9,16,7
22/23,Sekzia Ness Ziona,15,0,Regular,3,6,6,17:25,-8,15,8
22/23,Hapoel Tel Aviv,15,0,Regular,4,3,8,20:29,-9,15,9
22/23,Maccabi Netanya,15,0,Regular,4,3,8,17:29,-12,15,10
22/23,Hapoel Haifa,15,0,Regular,2,8,5,12:17,-5,14,11
22/23,Maccabi Bnei Reineh,15,0,Regular,3,5,7,14:26,-12,14,12
22/23,Ironi Kiryat Shmona,15,0,Regular,1,8,6,16:23,-7,11,13
