,date,kot,round_type,round,home_team,away_team,home_position,away_position,underdog,home_score,away_score,referee,stadium,attendance,season,home_won,away_won,draw,derby,while_world_cup,kot_15_16,kot_16_17,kot_17_18,kot_18_19,kot_19_20,kot_20_21,kot_21_22,kot_22_23,while_champion_league,while_european_games,home_key,away_key,home_promoted,home_league_pts,home_is_relegated,home_is_champion,home_pos_b4_game,away_promoted,away_league_pts,away_is_relegated,away_is_champion,away_pos_b4_game
130,2023-01-21,1900-01-01 19:30:00,Regular Season,19,Maccabi Bnei Reineh,Beitar Jerusalem,14,6,Maccabi Bnei Reineh,0,2,Snir Levi,Green Stadium,2304,2022,0,1,0,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Regular Season - 19 - Maccabi Bnei Reineh,2022 - Regular Season - 19 - Beitar Jerusalem,1,15,,,14,0,24,,,6
131,2023-01-22,1900-01-01 20:15:00,Regular Season,19,Hapoel Beer Sheva,Maccabi Netanya,3,8,Maccabi Netanya,2,2,Igal Frid,Toto Jacob Turner Stadium,12428,2022,0,0,1,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 19 - Hapoel Beer Sheva,2022 - Regular Season - 19 - Maccabi Netanya,0,42,,,2,0,21,,,9
132,2023-01-23,1900-01-01 20:30:00,Regular Season,19,Maccabi Tel Aviv,Maccabi Haifa,2,1,Maccabi Tel Aviv,3,0,Orel Grinfeld,Bloomfield,27279,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 19 - Maccabi Tel Aviv,2022 - Regular Season - 19 - Maccabi Haifa,0,43,,,3,0,48,,,1
133,2023-01-28,1900-01-01 15:00:00,Regular Season,20,Maccabi Haifa,Maccabi Bnei Reineh,1,14,Maccabi Bnei Reineh,0,0,Igal Frid,Sammy Ofer Stadium,24753,2022,0,0,1,0,0,True,False,False,False,False,False,False,False,0,1,2022 - Regular Season - 20 - Maccabi Haifa,2022 - Regular Season - 20 - Maccabi Bnei Reineh,0,49,,,1,1,16,,,14
134,2023-01-28,1900-01-01 17:30:00,Regular Season,20,FC Ashdod,Ironi Kiryat Shmona,5,12,Ironi Kiryat Shmona,1,1,Niv Steif,Yud-Alef Stadion,1373,2022,0,0,1,0,0,False,False,True,False,False,False,False,False,0,1,2022 - Regular Season - 20 - FC Ashdod,2022 - Regular Season - 20 - Ironi Kiryat Shmona,0,25,,,5,0,17,,,13
135,2023-01-28,1900-01-01 18:00:00,Regular Season,20,Maccabi Netanya,Sekzia Ness Ziona,7,13,Sekzia Ness Ziona,3,0,Majed Rushrush,Netanya Stadium,5370,2022,1,0,0,0,0,False,False,False,True,False,False,False,False,0,1,2022 - Regular Season - 20 - Maccabi Netanya,2022 - Regular Season - 20 - Sekzia Ness Ziona,0,24,,,8,1,17,,,12
136,2023-01-28,1900-01-01 19:30:00,Regular Season,20,Beitar Jerusalem,Hapoel Hadera,6,8,Hapoel Hadera,0,2,Roi Reinshreiber,HaMoshava Stadium,8000,2022,0,1,0,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Regular Season - 20 - Beitar Jerusalem,2022 - Regular Season - 20 - Hapoel Hadera,0,24,,,6,0,24,,,9
137,2023-01-28,1900-01-01 20:00:00,Regular Season,20,Hapoel Tel Aviv,Maccabi Tel Aviv,11,3,Hapoel Tel Aviv,0,0,Snir Levi,Bloomfield,21850,2022,0,0,1,1,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 20 - Hapoel Tel Aviv,2022 - Regular Season - 20 - Maccabi Tel Aviv,0,19,,,11,0,44,,,2
138,2023-01-29,1900-01-01 20:15:00,Regular Season,20,Hapoel Haifa,Hapoel Beer Sheva,9,2,Hapoel Haifa,0,1,Nael Odeh,Sammy Ofer Stadium,3370,2022,0,1,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 20 - Hapoel Haifa,2022 - Regular Season - 20 - Hapoel Beer Sheva,0,23,,,7,0,45,,,3
139,2023-01-30,1900-01-01 20:00:00,Regular Season,20,Ihud Bnei Sakhnin,Hapoel Jerusalem,10,4,Ihud Bnei Sakhnin,2,1,Gal Levi,Doha Stadium,1300,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,0,2022 - Regular Season - 20 - Ihud Bnei Sakhnin,2022 - Regular Season - 20 - Hapoel Jerusalem,0,21,,,10,0,28,,,4
140,2023-02-04,1900-01-01 15:00:00,Regular Season,21,Sekzia Ness Ziona,Hapoel Beer Sheva,13,2,Sekzia Ness Ziona,0,1,Idan Leiba,HaMoshava Stadium,2887,2022,0,1,0,0,0,True,False,False,False,False,False,False,False,0,1,2022 - Regular Season - 21 - Sekzia Ness Ziona,2022 - Regular Season - 21 - Hapoel Beer Sheva,1,17,,,13,0,48,,,2
141,2023-02-04,1900-01-01 17:30:00,Regular Season,21,Maccabi Tel Aviv,Ihud Bnei Sakhnin,3,10,Ihud Bnei Sakhnin,1,1,Igal Frid,Bloomfield,18190,2022,0,0,1,0,0,False,False,True,False,False,False,False,False,0,1,2022 - Regular Season - 21 - Maccabi Tel Aviv,2022 - Regular Season - 21 - Ihud Bnei Sakhnin,0,45,,,3,0,22,,,10
142,2023-02-04,1900-01-01 18:00:00,Regular Season,21,Hapoel Haifa,FC Ashdod,9,7,Hapoel Haifa,1,1,Eitan Shmuelevic,Sammy Ofer Stadium,2250,2022,0,0,1,0,0,False,False,False,True,False,False,False,False,0,1,2022 - Regular Season - 21 - Hapoel Haifa,2022 - Regular Season - 21 - FC Ashdod,0,24,,,9,0,26,,,5
143,2023-02-04,1900-01-01 18:00:00,Regular Season,21,Hapoel Jerusalem,Maccabi Netanya,4,6,Maccabi Netanya,0,2,Roi Reinshreiber,Teddy-Kollek-Stadion,1757,2022,0,1,0,0,0,False,False,False,True,False,False,False,False,0,1,2022 - Regular Season - 21 - Hapoel Jerusalem,2022 - Regular Season - 21 - Maccabi Netanya,0,28,,,4,0,27,,,7
144,2023-02-04,1900-01-01 19:30:00,Regular Season,21,Ironi Kiryat Shmona,Beitar Jerusalem,12,5,Ironi Kiryat Shmona,0,3,Nael Odeh,Kiryat Shmona Municipal Stadium,2700,2022,0,1,0,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Regular Season - 21 - Ironi Kiryat Shmona,2022 - Regular Season - 21 - Beitar Jerusalem,0,17,,,12,0,27,,,6
145,2023-02-05,1900-01-01 20:15:00,Regular Season,21,Maccabi Bnei Reineh,Hapoel Tel Aviv,14,11,Maccabi Bnei Reineh,1,1,Shalom Ben Avraham,Netanya Stadium,2355,2022,0,0,1,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 21 - Maccabi Bnei Reineh,2022 - Regular Season - 21 - Hapoel Tel Aviv,1,17,,,14,0,20,,,11
146,2023-02-08,1900-01-01 20:30:00,Regular Season,21,Hapoel Hadera,Maccabi Haifa,8,1,Hapoel Hadera,1,1,Gal Leibovitz,Netanya Stadium,8800,2022,0,0,1,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 21 - Hapoel Hadera,2022 - Regular Season - 21 - Maccabi Haifa,0,25,,,8,0,50,,,1
147,2023-02-11,1900-01-01 15:00:00,Regular Season,22,Beitar Jerusalem,FC Ashdod,4,8,FC Ashdod,2,1,Idan Leiba,Teddy-Kollek-Stadion,16000,2022,1,0,0,0,0,True,False,False,False,False,False,False,False,0,1,2022 - Regular Season - 22 - Beitar Jerusalem,2022 - Regular Season - 22 - FC Ashdod,0,30,,,5,0,26,,,7
148,2023-02-11,1900-01-01 17:30:00,Regular Season,22,Hapoel Beer Sheva,Hapoel Jerusalem,2,6,Hapoel Jerusalem,0,0,Orel Grinfeld,Toto Jacob Turner Stadium,14746,2022,0,0,1,0,0,False,False,True,False,False,False,False,False,0,1,2022 - Regular Season - 22 - Hapoel Beer Sheva,2022 - Regular Season - 22 - Hapoel Jerusalem,0,49,,,2,0,29,,,4
149,2023-02-11,1900-01-01 18:30:00,Regular Season,22,Sekzia Ness Ziona,Hapoel Haifa,14,7,Sekzia Ness Ziona,0,2,Dekel Tzino,HaMoshava Stadium,716,2022,0,1,0,0,0,False,False,False,True,False,False,False,False,0,1,2022 - Regular Season - 22 - Sekzia Ness Ziona,2022 - Regular Season - 22 - Hapoel Haifa,1,17,,,13,0,27,,,9
150,2023-02-11,1900-01-01 18:30:00,Regular Season,22,Ihud Bnei Sakhnin,Maccabi Bnei Reineh,10,12,Maccabi Bnei Reineh,1,1,Ohad Asulin,Doha Stadium,1500,2022,0,0,1,0,0,False,False,False,True,False,False,False,False,0,1,2022 - Regular Season - 22 - Ihud Bnei Sakhnin,2022 - Regular Season - 22 - Maccabi Bnei Reineh,0,23,,,10,1,18,,,14
151,2023-02-11,1900-01-01 19:30:00,Regular Season,22,Maccabi Haifa,Ironi Kiryat Shmona,1,13,Ironi Kiryat Shmona,2,0,Roi Reinshreiber,Sammy Ofer Stadium,29073,2022,1,0,0,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Regular Season - 22 - Maccabi Haifa,2022 - Regular Season - 22 - Ironi Kiryat Shmona,0,53,,,1,0,17,,,12
152,2023-02-12,1900-01-01 20:15:00,Regular Season,22,Hapoel Tel Aviv,Hapoel Hadera,11,9,Hapoel Tel Aviv,0,0,Eitan Shmuelevic,Bloomfield,6933,2022,0,0,1,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 22 - Hapoel Tel Aviv,2022 - Regular Season - 22 - Hapoel Hadera,0,21,,,11,0,26,,,8
153,2023-02-13,1900-01-01 20:30:00,Regular Season,22,Maccabi Netanya,Maccabi Tel Aviv,5,3,Maccabi Netanya,2,1,Nael Odeh,Netanya Stadium,11831,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 22 - Maccabi Netanya,2022 - Regular Season - 22 - Maccabi Tel Aviv,0,30,,,6,0,45,,,3
154,2023-02-18,1900-01-01 15:00:00,Regular Season,23,Ironi Kiryat Shmona,Hapoel Tel Aviv,13,11,Ironi Kiryat Shmona,0,1,Idan Leiba,Kiryat Shmona Municipal Stadium,3500,2022,0,1,0,0,0,True,False,False,False,False,False,False,False,0,1,2022 - Regular Season - 23 - Ironi Kiryat Shmona,2022 - Regular Season - 23 - Hapoel Tel Aviv,0,17,,,13,0,24,,,11
155,2023-02-18,1900-01-01 17:30:00,Regular Season,23,Maccabi Bnei Reineh,Maccabi Netanya,12,4,Maccabi Bnei Reineh,1,2,Snir Levi,Green Stadium,1639,2022,0,1,0,0,0,False,False,True,False,False,False,False,False,0,1,2022 - Regular Season - 23 - Maccabi Bnei Reineh,2022 - Regular Season - 23 - Maccabi Netanya,1,18,,,12,0,33,,,5
156,2023-02-18,1900-01-01 18:30:00,Regular Season,23,Hapoel Hadera,Ihud Bnei Sakhnin,10,9,Hapoel Hadera,1,3,Yoav Mizrahi,Netanya Stadium,1350,2022,0,1,0,0,0,False,False,False,True,False,False,False,False,0,1,2022 - Regular Season - 23 - Hapoel Hadera,2022 - Regular Season - 23 - Ihud Bnei Sakhnin,0,26,,,9,0,26,,,10
157,2023-02-18,1900-01-01 18:30:00,Regular Season,23,Hapoel Jerusalem,Sekzia Ness Ziona,5,14,Sekzia Ness Ziona,1,0,Ohad Asulin,Teddy-Kollek-Stadion,1924,2022,1,0,0,0,0,False,False,False,True,False,False,False,False,0,1,2022 - Regular Season - 23 - Hapoel Jerusalem,2022 - Regular Season - 23 - Sekzia Ness Ziona,0,32,,,6,1,17,,,14
158,2023-02-18,1900-01-01 19:30:00,Regular Season,23,FC Ashdod,Maccabi Haifa,7,1,FC Ashdod,3,1,Igal Frid,Yud-Alef Stadion,6470,2022,1,0,0,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Regular Season - 23 - FC Ashdod,2022 - Regular Season - 23 - Maccabi Haifa,0,29,,,8,0,53,,,1
159,2023-02-19,1900-01-01 20:15:00,Regular Season,23,Hapoel Haifa,Beitar Jerusalem,8,6,Hapoel Haifa,0,0,Orel Grinfeld,Sammy Ofer Stadium,10350,2022,0,0,1,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 23 - Hapoel Haifa,2022 - Regular Season - 23 - Beitar Jerusalem,0,28,,,7,0,31,,,4
160,2023-02-20,1900-01-01 20:30:00,Regular Season,23,Maccabi Tel Aviv,Hapoel Beer Sheva,3,2,Maccabi Tel Aviv,1,0,Roi Reinshreiber,Bloomfield,22579,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 23 - Maccabi Tel Aviv,2022 - Regular Season - 23 - Hapoel Beer Sheva,0,48,,,3,0,49,,,2
161,2023-02-25,1900-01-01 15:00:00,Regular Season,24,Hapoel Tel Aviv,FC Ashdod,11,6,Hapoel Tel Aviv,1,2,Orel Grinfeld,Bloomfield,10300,2022,0,1,0,0,0,True,False,False,False,False,False,False,False,0,1,2022 - Regular Season - 24 - Hapoel Tel Aviv,2022 - Regular Season - 24 - FC Ashdod,0,24,,,11,0,32,,,7
162,2023-02-25,1900-01-01 17:30:00,Regular Season,24,Sekzia Ness Ziona,Maccabi Tel Aviv,14,3,Sekzia Ness Ziona,0,2,David Fucsman,HaMoshava Stadium,8596,2022,0,1,0,0,0,False,False,True,False,False,False,False,False,0,1,2022 - Regular Season - 24 - Sekzia Ness Ziona,2022 - Regular Season - 24 - Maccabi Tel Aviv,1,17,,,14,0,51,,,3
163,2023-02-25,1900-01-01 18:30:00,Regular Season,24,Ihud Bnei Sakhnin,Ironi Kiryat Shmona,9,12,Ironi Kiryat Shmona,1,3,Snir Levi,Doha Stadium,3073,2022,0,1,0,0,0,False,False,False,True,False,False,False,False,0,1,2022 - Regular Season - 24 - Ihud Bnei Sakhnin,2022 - Regular Season - 24 - Ironi Kiryat Shmona,0,26,,,9,0,20,,,13
164,2023-02-25,1900-01-01 19:00:00,Regular Season,24,Maccabi Netanya,Hapoel Hadera,4,10,Hapoel Hadera,1,0,Aviad Shiloah,Netanya Stadium,6029,2022,1,0,0,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Regular Season - 24 - Maccabi Netanya,2022 - Regular Season - 24 - Hapoel Hadera,0,36,,,4,0,26,,,10
165,2023-02-25,1900-01-01 20:00:00,Regular Season,24,Maccabi Haifa,Beitar Jerusalem,1,7,Beitar Jerusalem,2,1,Gal Leibovitz,Sammy Ofer Stadium,29352,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 24 - Maccabi Haifa,2022 - Regular Season - 24 - Beitar Jerusalem,0,56,,,1,0,31,,,6
166,2023-02-26,1900-01-01 20:15:00,Regular Season,24,Hapoel Jerusalem,Hapoel Haifa,5,8,Hapoel Haifa,2,2,Igal Frid,Teddy-Kollek-Stadion,1754,2022,0,0,1,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 24 - Hapoel Jerusalem,2022 - Regular Season - 24 - Hapoel Haifa,0,33,,,5,0,29,,,8
167,2023-02-27,1900-01-01 20:00:00,Regular Season,24,Hapoel Beer Sheva,Maccabi Bnei Reineh,2,13,Maccabi Bnei Reineh,2,0,Idan Leiba,Toto Jacob Turner Stadium,10518,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 24 - Hapoel Beer Sheva,2022 - Regular Season - 24 - Maccabi Bnei Reineh,0,52,,,2,1,18,,,12
168,2023-03-04,1900-01-01 15:00:00,Regular Season,25,Ironi Kiryat Shmona,Maccabi Netanya,12,4,Ironi Kiryat Shmona,2,2,Nael Odeh,Kiryat Shmona Municipal Stadium,2314,2022,0,0,1,0,0,True,False,False,False,False,False,False,False,0,1,2022 - Regular Season - 25 - Ironi Kiryat Shmona,2022 - Regular Season - 25 - Maccabi Netanya,0,21,,,12,0,37,,,4
169,2023-03-04,1900-01-01 17:30:00,Regular Season,25,Hapoel Hadera,Hapoel Beer Sheva,11,2,Hapoel Hadera,0,3,David Fucsman,Netanya Stadium,2753,2022,0,1,0,0,0,False,False,True,False,False,False,False,False,0,1,2022 - Regular Season - 25 - Hapoel Hadera,2022 - Regular Season - 25 - Hapoel Beer Sheva,0,26,,,10,0,55,,,2
170,2023-03-04,1900-01-01 18:30:00,Regular Season,25,FC Ashdod,Ihud Bnei Sakhnin,6,9,Ihud Bnei Sakhnin,1,1,Ohad Asulin,Yud-Alef Stadion,2197,2022,0,0,1,0,0,False,False,False,True,False,False,False,False,0,1,2022 - Regular Season - 25 - FC Ashdod,2022 - Regular Season - 25 - Ihud Bnei Sakhnin,0,33,,,6,0,27,,,9
171,2023-03-04,1900-01-01 18:30:00,Regular Season,25,Maccabi Bnei Reineh,Sekzia Ness Ziona,13,14,Sekzia Ness Ziona,3,2,Eitan Shmuelevic,Green Stadium,900,2022,1,0,0,0,0,False,False,False,True,False,False,False,False,0,1,2022 - Regular Season - 25 - Maccabi Bnei Reineh,2022 - Regular Season - 25 - Sekzia Ness Ziona,1,21,,,13,1,17,,,14
172,2023-03-04,1900-01-01 19:30:00,Regular Season,25,Maccabi Tel Aviv,Hapoel Jerusalem,3,5,Hapoel Jerusalem,1,2,Idan Leiba,Bloomfield,22309,2022,0,1,0,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Regular Season - 25 - Maccabi Tel Aviv,2022 - Regular Season - 25 - Hapoel Jerusalem,0,51,,,3,0,36,,,5
173,2023-03-05,1900-01-01 20:15:00,Regular Season,25,Beitar Jerusalem,Hapoel Tel Aviv,7,10,Hapoel Tel Aviv,1,3,Igal Frid,Teddy-Kollek-Stadion,22000,2022,0,1,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 25 - Beitar Jerusalem,2022 - Regular Season - 25 - Hapoel Tel Aviv,0,31,,,7,0,27,,,11
174,2023-03-06,1900-01-01 20:30:00,Regular Season,25,Maccabi Haifa,Hapoel Haifa,1,8,Hapoel Haifa,4,1,Snir Levi,Sammy Ofer Stadium,29105,2022,1,0,0,1,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 25 - Maccabi Haifa,2022 - Regular Season - 25 - Hapoel Haifa,0,59,,,1,0,29,,,8
175,2023-03-11,1900-01-01 20:00:00,Regular Season,26,Hapoel Haifa,Maccabi Tel Aviv,8,3,Hapoel Haifa,1,1,Aviad Shiloah,Sammy Ofer Stadium,5610,2022,0,0,1,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 26 - Hapoel Haifa,2022 - Regular Season - 26 - Maccabi Tel Aviv,0,30,,,8,0,52,,,3
176,2023-03-11,1900-01-01 20:00:00,Regular Season,26,Hapoel Jerusalem,Maccabi Bnei Reineh,5,12,Maccabi Bnei Reineh,0,1,Ohad Asulin,Teddy-Kollek-Stadion,2661,2022,0,1,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 26 - Hapoel Jerusalem,2022 - Regular Season - 26 - Maccabi Bnei Reineh,0,36,,,5,1,24,,,13
177,2023-03-11,1900-01-01 20:00:00,Regular Season,26,Sekzia Ness Ziona,Hapoel Hadera,14,10,Sekzia Ness Ziona,1,3,Niv Steif,HaMoshava Stadium,370,2022,0,1,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 26 - Sekzia Ness Ziona,2022 - Regular Season - 26 - Hapoel Hadera,1,17,,,14,0,29,,,11
178,2023-03-11,1900-01-01 20:00:00,Regular Season,26,Maccabi Netanya,FC Ashdod,4,6,FC Ashdod,0,2,Snir Levi,Netanya Stadium,6778,2022,0,1,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 26 - Maccabi Netanya,2022 - Regular Season - 26 - FC Ashdod,0,37,,,4,0,36,,,6
179,2023-03-11,1900-01-01 20:00:00,Regular Season,26,Ihud Bnei Sakhnin,Beitar Jerusalem,9,7,Ihud Bnei Sakhnin,2,0,Idan Leiba,Doha Stadium,4000,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 26 - Ihud Bnei Sakhnin,2022 - Regular Season - 26 - Beitar Jerusalem,0,30,,,9,0,31,,,7
180,2023-03-12,1900-01-01 20:15:00,Regular Season,26,Hapoel Beer Sheva,Ironi Kiryat Shmona,2,13,Ironi Kiryat Shmona,2,1,Shalom Ben Avraham,Toto Jacob Turner Stadium,11678,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 26 - Hapoel Beer Sheva,2022 - Regular Season - 26 - Ironi Kiryat Shmona,0,58,,,2,0,21,,,12
181,2023-03-13,1900-01-01 20:30:00,Regular Season,26,Hapoel Tel Aviv,Maccabi Haifa,11,1,Hapoel Tel Aviv,0,1,Eitan Shmuelevic,Bloomfield,23900,2022,0,1,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 26 - Hapoel Tel Aviv,2022 - Regular Season - 26 - Maccabi Haifa,0,27,,,10,0,62,,,1
182,2023-03-18,1900-01-01 15:00:00,Championship Round,1,Hapoel Beer Sheva,Hapoel Jerusalem,2,5,Hapoel Jerusalem,1,0,Nael Odeh,Toto Jacob Turner Stadium,12536,2022,1,0,0,0,0,True,False,False,False,False,False,False,False,0,1,2022 - Championship Round - 1 - Hapoel Beer Sheva,2022 - Championship Round - 1 - Hapoel Jerusalem,0,61,,,2,0,36,,,5
183,2023-03-18,1900-01-01 17:30:00,Championship Round,1,Maccabi Tel Aviv,Maccabi Netanya,3,4,Maccabi Netanya,2,0,Gal Leibovitz,Bloomfield,16602,2022,1,0,0,0,0,False,False,True,False,False,False,False,False,0,1,2022 - Championship Round - 1 - Maccabi Tel Aviv,2022 - Championship Round - 1 - Maccabi Netanya,0,55,,,3,0,37,,,4
184,2023-03-18,1900-01-01 20:00:00,Championship Round,1,Maccabi Haifa,FC Ashdod,1,6,FC Ashdod,2,1,Aviad Shiloah,Sammy Ofer Stadium,28076,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Championship Round - 1 - Maccabi Haifa,2022 - Championship Round - 1 - FC Ashdod,0,65,,,1,0,36,,,6
185,2023-04-01,1900-01-01 18:30:00,Championship Round,2,Hapoel Jerusalem,Maccabi Tel Aviv,6,3,Hapoel Jerusalem,0,2,David Fucsman,Teddy-Kollek-Stadion,4242,2022,0,1,0,0,0,False,False,False,True,False,False,False,False,0,1,2022 - Championship Round - 2 - Hapoel Jerusalem,2022 - Championship Round - 2 - Maccabi Tel Aviv,0,36,,,5,0,58,,,3
186,2023-04-01,1900-01-01 20:00:00,Championship Round,2,Maccabi Haifa,Hapoel Beer Sheva,1,2,Hapoel Beer Sheva,1,0,Orel Grinfeld,Sammy Ofer Stadium,29875,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Championship Round - 2 - Maccabi Haifa,2022 - Championship Round - 2 - Hapoel Beer Sheva,0,68,,,1,0,61,,,2
187,2023-04-01,1900-01-01 20:00:00,Championship Round,2,FC Ashdod,Maccabi Netanya,4,5,Maccabi Netanya,3,2,Refael Geva,Yud-Alef Stadion,2422,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Championship Round - 2 - FC Ashdod,2022 - Championship Round - 2 - Maccabi Netanya,0,39,,,6,0,37,,,4
188,2023-04-04,1900-01-01 19:45:00,Championship Round,3,Maccabi Netanya,Hapoel Jerusalem,6,4,Maccabi Netanya,0,2,Niv Steif,Netanya Stadium,3484,2022,0,1,0,0,0,False,False,False,False,True,False,False,False,0,0,2022 - Championship Round - 3 - Maccabi Netanya,2022 - Championship Round - 3 - Hapoel Jerusalem,0,37,,,5,0,39,,,6
189,2023-04-04,1900-01-01 20:00:00,Championship Round,3,Hapoel Beer Sheva,FC Ashdod,2,5,FC Ashdod,3,1,Gal Leibovitz,Toto Jacob Turner Stadium,10448,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,0,2022 - Championship Round - 3 - Hapoel Beer Sheva,2022 - Championship Round - 3 - FC Ashdod,0,64,,,2,0,39,,,4
190,2023-04-04,1900-01-01 20:30:00,Championship Round,3,Maccabi Tel Aviv,Maccabi Haifa,3,1,Maccabi Tel Aviv,1,1,Roi Reinshreiber,Bloomfield,26330,2022,0,0,1,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Championship Round - 3 - Maccabi Tel Aviv,2022 - Championship Round - 3 - Maccabi Haifa,0,59,,,3,0,69,,,1
191,2023-04-08,1900-01-01 17:30:00,Championship Round,4,FC Ashdod,Hapoel Jerusalem,5,4,FC Ashdod,0,1,Dekel Tzino,Yud-Alef Stadion,2231,2022,0,1,0,0,0,False,False,True,False,False,False,False,False,0,1,2022 - Championship Round - 4 - FC Ashdod,2022 - Championship Round - 4 - Hapoel Jerusalem,0,39,,,5,0,42,,,4
192,2023-04-08,1900-01-01 20:00:00,Championship Round,4,Maccabi Haifa,Maccabi Netanya,1,6,Maccabi Netanya,4,1,Igal Frid,Sammy Ofer Stadium,29431,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Championship Round - 4 - Maccabi Haifa,2022 - Championship Round - 4 - Maccabi Netanya,0,72,,,1,0,37,,,6
193,2023-04-10,1900-01-01 20:30:00,Championship Round,4,Hapoel Beer Sheva,Maccabi Tel Aviv,2,3,Maccabi Tel Aviv,1,2,Eitan Shmuelevic,Toto Jacob Turner Stadium,15114,2022,0,1,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Championship Round - 4 - Hapoel Beer Sheva,2022 - Championship Round - 4 - Maccabi Tel Aviv,0,64,,,2,0,62,,,3
194,2023-04-15,1900-01-01 18:30:00,Championship Round,5,Hapoel Jerusalem,Maccabi Haifa,4,1,Hapoel Jerusalem,2,1,Idan Leiba,Teddy-Kollek-Stadion,18755,2022,1,0,0,0,0,False,False,False,True,False,False,False,False,0,1,2022 - Championship Round - 5 - Hapoel Jerusalem,2022 - Championship Round - 5 - Maccabi Haifa,0,45,,,4,0,72,,,1
195,2023-04-15,1900-01-01 20:00:00,Championship Round,5,Maccabi Tel Aviv,FC Ashdod,3,5,FC Ashdod,1,1,Nael Odeh,Bloomfield,15686,2022,0,0,1,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Championship Round - 5 - Maccabi Tel Aviv,2022 - Championship Round - 5 - FC Ashdod,0,63,,,3,0,40,,,5
196,2023-04-16,1900-01-01 20:30:00,Championship Round,5,Maccabi Netanya,Hapoel Beer Sheva,6,2,Maccabi Netanya,1,1,Aviad Shiloah,Netanya Stadium,6341,2022,0,0,1,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Championship Round - 5 - Maccabi Netanya,2022 - Championship Round - 5 - Hapoel Beer Sheva,0,38,,,6,0,65,,,2
197,2023-04-22,1900-01-01 18:30:00,Championship Round,6,Hapoel Jerusalem,Hapoel Beer Sheva,4,2,Hapoel Jerusalem,1,2,Shalom Ben Avraham,Teddy-Kollek-Stadion,2988,2022,0,1,0,0,0,False,False,False,True,False,False,False,False,0,1,2022 - Championship Round - 6 - Hapoel Jerusalem,2022 - Championship Round - 6 - Hapoel Beer Sheva,0,45,,,4,0,68,,,2
198,2023-04-22,1900-01-01 20:00:00,Championship Round,6,Maccabi Netanya,Maccabi Tel Aviv,6,3,Maccabi Netanya,0,0,Snir Levi,Netanya Stadium,8730,2022,0,0,1,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Championship Round - 6 - Maccabi Netanya,2022 - Championship Round - 6 - Maccabi Tel Aviv,0,39,,,6,0,64,,,3
199,2023-04-23,1900-01-01 20:30:00,Championship Round,6,FC Ashdod,Maccabi Haifa,5,1,FC Ashdod,1,2,Orel Grinfeld,Yud-Alef Stadion,6497,2022,0,1,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Championship Round - 6 - FC Ashdod,2022 - Championship Round - 6 - Maccabi Haifa,0,40,,,5,0,75,,0.0,1
