,date,kot,round_type,round,home_team,away_team,home_position,away_position,underdog,home_score,away_score,referee,stadium,attendance,season,home_won,away_won,draw,derby,while_world_cup,kot_15_16,kot_16_17,kot_17_18,kot_18_19,kot_19_20,kot_20_21,kot_21_22,kot_22_23,while_champion_league,while_european_games,home_key,away_key,home_promoted,home_league_pts,home_is_relegated,home_is_champion,home_pos_b4_game,away_promoted,away_league_pts,away_is_relegated,away_is_champion,away_pos_b4_game
25,2022-09-11,1900-01-01 20:15:00,Regular Season,4,Hapoel Tel Aviv,Hapoel Beer Sheva,11,6,Hapoel Tel Aviv,2,3,Gal Leibovitz,Bloomfield,10700,2022,0,1,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 4 - Hapoel Tel Aviv,2022 - Regular Season - 4 - Hapoel Beer Sheva,0,3,,,11,0,6,,,9
26,2022-09-11,1900-01-01 20:45:00,Regular Season,4,Ironi Kiryat Shmona,Maccabi Bnei Reineh,8,13,Maccabi Bnei Reineh,1,1,Ohad Asulin,Kiryat Shmona Municipal Stadium,1700,2022,0,0,1,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 4 - Ironi Kiryat Shmona,2022 - Regular Season - 4 - Maccabi Bnei Reineh,0,5,,,7,1,2,,,13
27,2022-09-12,1900-01-01 20:30:00,Regular Season,4,Beitar Jerusalem,Hapoel Jerusalem,12,3,Beitar Jerusalem,0,1,Eitan Shmuelevic,Teddy-Kollek-Stadion,19000,2022,0,1,0,1,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 4 - Beitar Jerusalem,2022 - Regular Season - 4 - Hapoel Jerusalem,0,3,,,12,0,8,,,5
28,2022-09-17,1900-01-01 18:00:00,Regular Season,5,Sekzia Ness Ziona,Hapoel Tel Aviv,13,11,Sekzia Ness Ziona,4,3,Snir Levi,HaMoshava Stadium,4903,2022,1,0,0,0,0,False,False,False,True,False,False,False,False,0,1,2022 - Regular Season - 5 - Sekzia Ness Ziona,2022 - Regular Season - 5 - Hapoel Tel Aviv,1,3,,,14,0,3,,,11
29,2022-09-17,1900-01-01 19:30:00,Regular Season,5,Maccabi Bnei Reineh,FC Ashdod,12,5,Maccabi Bnei Reineh,1,1,Yoav Mizrahi,Green Stadium,1061,2022,0,0,1,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Regular Season - 5 - Maccabi Bnei Reineh,2022 - Regular Season - 5 - FC Ashdod,1,3,,,13,0,8,,,5
30,2022-09-17,1900-01-01 20:00:00,Regular Season,5,Hapoel Haifa,Maccabi Netanya,7,10,Maccabi Netanya,0,0,Igal Frid,Sammy Ofer Stadium,2750,2022,0,0,1,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 5 - Hapoel Haifa,2022 - Regular Season - 5 - Maccabi Netanya,0,6,,,7,0,5,,,10
31,2022-09-17,1900-01-01 20:30:00,Regular Season,5,Maccabi Tel Aviv,Beitar Jerusalem,1,14,Beitar Jerusalem,4,0,Roi Reinshreiber,Bloomfield,26043,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 5 - Maccabi Tel Aviv,2022 - Regular Season - 5 - Beitar Jerusalem,0,13,,,2,0,3,,,12
32,2022-09-18,1900-01-01 19:00:00,Regular Season,5,Hapoel Hadera,Ironi Kiryat Shmona,9,8,Hapoel Hadera,1,1,Niv Steif,Netanya Stadium,500,2022,0,0,1,0,0,False,False,False,False,True,False,False,False,0,1,2022 - Regular Season - 5 - Hapoel Hadera,2022 - Regular Season - 5 - Ironi Kiryat Shmona,0,6,,,9,0,6,,,8
33,2022-09-18,1900-01-01 20:00:00,Regular Season,5,Hapoel Beer Sheva,Ihud Bnei Sakhnin,4,6,Ihud Bnei Sakhnin,1,0,Idan Leiba,Toto Jacob Turner Stadium,10409,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 5 - Hapoel Beer Sheva,2022 - Regular Season - 5 - Ihud Bnei Sakhnin,0,9,,,6,0,7,,,4
34,2022-09-18,1900-01-01 20:15:00,Regular Season,5,Hapoel Jerusalem,Maccabi Haifa,3,2,Hapoel Jerusalem,3,0,Aviad Shiloah,Teddy-Kollek-Stadion,6831,2022,1,0,0,0,0,False,False,False,False,False,True,False,False,0,1,2022 - Regular Season - 5 - Hapoel Jerusalem,2022 - Regular Season - 5 - Maccabi Haifa,0,11,,,3,0,12,,,1
