,season,round,round_type,team,promoted,team_pos,pts,g_difference,win,draw,lose,goals_for,goals_against
121,2022,9,Regular Season,Ironi Kiryat Shmona,0,10,8,-3,1,5,3,10,13
122,2022,9,Regular Season,Hapoel Haifa,0,11,8,-4,1,5,3,8,12
123,2022,9,Regular Season,Sekzia Ness Ziona,1,12,8,-8,2,2,5,8,16
124,2022,9,Regular Season,Hapoel Tel Aviv,0,13,7,-7,2,1,6,10,17
125,2022,9,Regular Season,Maccabi Netanya,0,14,6,-8,1,3,5,7,15
126,2022,10,Regular Season,Maccabi Haifa,0,1,24,9,8,0,2,19,10
127,2022,10,Regular Season,Maccabi Tel Aviv,0,2,22,20,7,1,2,25,5
128,2022,10,Regular Season,Hapoel Beer Sheva,0,3,20,11,6,2,2,22,11
129,2022,10,Regular Season,Hapoel Jerusalem,0,4,20,9,6,2,2,18,9
130,2022,10,Regular Season,Hapoel Hadera,0,5,14,-2,3,5,2,12,14
131,2022,10,Regular Season,FC Ashdod,0,6,13,-1,3,4,3,11,12
132,2022,10,Regular Season,Ihud Bnei Sakhnin,0,7,13,-2,4,1,5,9,11
133,2022,10,Regular Season,Maccabi Bnei Reineh,1,8,12,-5,3,3,4,11,16
134,2022,10,Regular Season,Hapoel Tel Aviv,0,9,10,-6,3,1,6,12,18
135,2022,10,Regular Season,Beitar Jerusalem,0,10,10,-8,3,1,6,11,19
136,2022,10,Regular Season,Hapoel Haifa,0,11,9,-4,1,6,3,8,12
137,2022,10,Regular Season,Maccabi Netanya,0,12,9,-7,2,3,5,9,16
138,2022,10,Regular Season,Ironi Kiryat Shmona,0,13,8,-4,1,5,4,11,15
139,2022,10,Regular Season,Sekzia Ness Ziona,1,14,8,-10,2,2,6,8,18
140,2022,11,Regular Season,Maccabi Haifa,0,1,27,12,9,0,2,23,11
141,2022,11,Regular Season,Maccabi Tel Aviv,0,2,23,20,7,2,2,26,6
142,2022,11,Regular Season,Hapoel Beer Sheva,0,3,23,14,7,2,2,25,11
143,2022,11,Regular Season,Hapoel Jerusalem,0,4,20,8,6,2,3,18,10
144,2022,11,Regular Season,Hapoel Hadera,0,5,17,0,4,5,2,15,15
145,2022,11,Regular Season,FC Ashdod,0,6,16,0,4,4,3,12,12
146,2022,11,Regular Season,Ihud Bnei Sakhnin,0,7,14,-2,4,2,5,10,12
147,2022,11,Regular Season,Hapoel Haifa,0,8,12,-3,2,6,3,9,12
148,2022,11,Regular Season,Maccabi Bnei Reineh,1,9,12,-8,3,3,5,11,19
149,2022,11,Regular Season,Hapoel Tel Aviv,0,10,10,-7,3,1,7,12,19
150,2022,11,Regular Season,Beitar Jerusalem,0,11,10,-11,3,1,7,12,23
